日付,郵便番号,店舗,商品,売り上げ
2024-02-13,1234567,hoge店舗,インスタントラーメン,315
2024-02-14,1234567,hoge店舗,インスタントラーメン,320
2024-02-15,1234567,hoge店舗,インスタントラーメン,325
2024-02-16,1234567,hoge店舗,インスタントラーメン,330
2024-02-17,1234567,hoge店舗,インスタントラーメン,335
2024-02-18,1234567,hoge店舗,インスタントラーメン,340
2024-02-19,1234567,hoge店舗,インスタントラーメン,345
2024-02-20,1234567,hoge店舗,インスタントラーメン,350
2024-02-21,1234567,hoge店舗,インスタントラーメン,355
2024-02-22,1234567,hoge店舗,インスタントラーメン,360
2024-02-23,1234567,hoge店舗,インスタントラーメン,365
2024-02-24,1234567,hoge店舗,インスタントラーメン,370
2024-02-25,1234567,hoge店舗,インスタントラーメン,375
2024-02-26,1234567,hoge店舗,インスタントラーメン,380
2024-02-27,1234567,hoge店舗,インスタントラーメン,385
2024-02-28,1234567,hoge店舗,インスタントラーメン,390
2024-02-29,1234567,hoge店舗,インスタントラーメン,395
2024-03-01,1234567,hoge店舗,インスタントラーメン,400
2024-03-02,1234567,hoge店舗,インスタントラーメン,405
2024-03-03,1234567,hoge店舗,インスタントラーメン,410
2024-03-04,1234567,hoge店舗,インスタントラーメン,415
2024-03-05,1234567,hoge店舗,インスタントラーメン,420
2024-03-06,1234567,hoge店舗,インスタントラーメン,425
2024-03-07,1234567,hoge店舗,インスタントラーメン,430
2024-03-08,1234567,hoge店舗,インスタントラーメン,435
2024-03-09,1234567,hoge店舗,インスタントラーメン,440
2024-03-10,1234567,hoge店舗,インスタントラーメン,445
2024-03-11,1234567,hoge店舗,インスタントラーメン,450
2024-03-12,1234567,hoge店舗,インスタントラーメン,455
2024-03-13,1234567,hoge店舗,インスタントラーメン,460
2024-03-14,1234567,hoge店舗,インスタントラーメン,465
2024-03-15,1234567,hoge店舗,インスタントラーメン,470
2024-03-16,1234567,hoge店舗,インスタントラーメン,475
2024-03-17,1234567,hoge店舗,インスタントラーメン,480
2024-03-18,1234567,hoge店舗,インスタントラーメン,485
2024-03-19,1234567,hoge店舗,インスタントラーメン,490
2024-03-20,1234567,hoge店舗,インスタントラーメン,495
2024-03-21,1234567,hoge店舗,インスタントラーメン,500
2024-03-22,1234567,hoge店舗,インスタントラーメン,505
2024-03-23,1234567,hoge店舗,インスタントラーメン,510
2024-03-24,1234567,hoge店舗,インスタントラーメン,515
2024-03-25,1234567,hoge店舗,インスタントラーメン,520
2024-03-26,1234567,hoge店舗,インスタントラーメン,525
2024-03-27,1234567,hoge店舗,インスタントラーメン,530
2024-03-28,1234567,hoge店舗,インスタントラーメン,535
2024-03-29,1234567,hoge店舗,インスタントラーメン,540
2024-03-30,1234567,hoge店舗,インスタントラーメン,545
2024-03-31,1234567,hoge店舗,インスタントラーメン,550
2024-04-01,1234567,hoge店舗,インスタントラーメン,555
2024-04-02,1234567,hoge店舗,インスタントラーメン,560
2024-04-03,1234567,hoge店舗,インスタントラーメン,565
2024-04-04,1234567,hoge店舗,インスタントラーメン,570
2024-04-05,1234567,hoge店舗,インスタントラーメン,575
2024-04-06,1234567,hoge店舗,インスタントラーメン,580
2024-04-07,1234567,hoge店舗,インスタントラーメン,585
2024-04-08,1234567,hoge店舗,インスタントラーメン,590
2024-04-09,1234567,hoge店舗,インスタントラーメン,595
2024-04-10,1234567,hoge店舗,インスタントラーメン,600
2024-04-11,1234567,hoge店舗,インスタントラーメン,605
2024-04-12,1234567,hoge店舗,インスタントラーメン,610
2024-04-13,1234567,hoge店舗,インスタントラーメン,615
2024-04-14,1234567,hoge店舗,インスタントラーメン,620
2024-04-15,1234567,hoge店舗,インスタントラーメン,625
2024-04-16,1234567,hoge店舗,インスタントラーメン,630
2024-04-17,1234567,hoge店舗,インスタントラーメン,635
2024-04-18,1234567,hoge店舗,インスタントラーメン,640
2024-04-19,1234567,hoge店舗,インスタントラーメン,645
2024-04-20,1234567,hoge店舗,インスタントラーメン,650
2024-04-21,1234567,hoge店舗,インスタントラーメン,655
2024-04-22,1234567,hoge店舗,インスタントラーメン,660
2024-04-23,1234567,hoge店舗,インスタントラーメン,665
2024-04-24,1234567,hoge店舗,インスタントラーメン,670
2024-04-25,1234567,hoge店舗,インスタントラーメン,675
2024-04-26,1234567,hoge店舗,インスタントラーメン,680
2024-04-27,1234567,hoge店舗,インスタントラーメン,685
2024-04-28,1234567,hoge店舗,インスタントラーメン,690
2024-04-29,1234567,hoge店舗,インスタントラーメン,695
2024-04-30,1234567,hoge店舗,インスタントラーメン,700
2024-05-01,1234567,hoge店舗,インスタントラーメン,705
2024-05-02,1234567,hoge店舗,インスタントラーメン,710
2024-05-03,1234567,hoge店舗,インスタントラーメン,715
2024-05-04,1234567,hoge店舗,インスタントラーメン,720
2024-05-05,1234567,hoge店舗,インスタントラーメン,725
2024-05-06,1234567,hoge店舗,インスタントラーメン,730
2024-05-07,1234567,hoge店舗,インスタントラーメン,735
2024-05-08,1234567,hoge店舗,インスタントラーメン,740
2024-05-09,1234567,hoge店舗,インスタントラーメン,745
2024-05-10,1234567,hoge店舗,インスタントラーメン,750
2024-05-11,1234567,hoge店舗,インスタントラーメン,755
2024-05-12,1234567,hoge店舗,インスタントラーメン,760
2024-05-13,1234567,hoge店舗,インスタントラーメン,765
2024-05-14,1234567,hoge店舗,インスタントラーメン,770
2024-05-15,1234567,hoge店舗,インスタントラーメン,775
2024-05-16,1234567,hoge店舗,インスタントラーメン,780
2024-05-17,1234567,hoge店舗,インスタントラーメン,785
2024-05-18,1234567,hoge店舗,インスタントラーメン,790
2024-05-19,1234567,hoge店舗,インスタントラーメン,795
2024-05-20,1234567,hoge店舗,インスタントラーメン,800
2024-05-21,1234567,hoge店舗,インスタントラーメン,805
2024-05-22,1234567,hoge店舗,インスタントラーメン,810
2024-05-23,1234567,hoge店舗,インスタントラーメン,815
2024-05-24,1234567,hoge店舗,インスタントラーメン,820
2024-05-25,1234567,hoge店舗,インスタントラーメン,825
2024-05-26,1234567,hoge店舗,インスタントラーメン,830
2024-05-27,1234567,hoge店舗,インスタントラーメン,835
2024-05-28,1234567,hoge店舗,インスタントラーメン,840
2024-05-29,1234567,hoge店舗,インスタントラーメン,845
2024-05-30,1234567,hoge店舗,インスタントラーメン,850
2024-05-31,1234567,hoge店舗,インスタントラーメン,855
2024-06-01,1234567,hoge店舗,インスタントラーメン,860
2024-06-02,1234567,hoge店舗,インスタントラーメン,865
2024-06-03,1234567,hoge店舗,インスタントラーメン,870
2024-06-04,1234567,hoge店舗,インスタントラーメン,875
2024-06-05,1234567,hoge店舗,インスタントラーメン,880
2024-06-06,1234567,hoge店舗,インスタントラーメン,885
2024-06-07,1234567,hoge店舗,インスタントラーメン,890
2024-06-08,1234567,hoge店舗,インスタントラーメン,895
2024-06-09,1234567,hoge店舗,インスタントラーメン,900
2024-06-10,1234567,hoge店舗,インスタントラーメン,905
2024-06-11,1234567,hoge店舗,インスタントラーメン,910
2024-06-12,1234567,hoge店舗,インスタントラーメン,915
2024-06-13,1234567,hoge店舗,インスタントラーメン,920
2024-06-14,1234567,hoge店舗,インスタントラーメン,925
2024-06-15,1234567,hoge店舗,インスタントラーメン,930
2024-06-16,1234567,hoge店舗,インスタントラーメン,935
2024-06-17,1234567,hoge店舗,インスタントラーメン,940
2024-06-18,1234567,hoge店舗,インスタントラーメン,945
2024-06-19,1234567,hoge店舗,インスタントラーメン,950
2024-06-20,1234567,hoge店舗,インスタントラーメン,955
2024-06-21,1234567,hoge店舗,インスタントラーメン,960
2024-06-22,1234567,hoge店舗,インスタントラーメン,965
2024-06-23,1234567,hoge店舗,インスタントラーメン,970
2024-06-24,1234567,hoge店舗,インスタントラーメン,975
2024-06-25,1234567,hoge店舗,インスタントラーメン,980
2024-06-26,1234567,hoge店舗,インスタントラーメン,985
2024-06-27,1234567,hoge店舗,インスタントラーメン,990
2024-06-28,1234567,hoge店舗,インスタントラーメン,995
2024-06-29,1234567,hoge店舗,インスタントラーメン,1000
2024-06-30,1234567,hoge店舗,インスタントラーメン,1005
2024-07-01,1234567,hoge店舗,インスタントラーメン,1010
2024-07-02,1234567,hoge店舗,インスタントラーメン,1015
2024-07-03,1234567,hoge店舗,インスタントラーメン,1020
2024-07-04,1234567,hoge店舗,インスタントラーメン,1025
2024-07-05,1234567,hoge店舗,インスタントラーメン,1030
2024-07-06,1234567,hoge店舗,インスタントラーメン,1035
2024-07-07,1234567,hoge店舗,インスタントラーメン,1040
2024-07-08,1234567,hoge店舗,インスタントラーメン,1045
2024-07-09,1234567,hoge店舗,インスタントラーメン,1050
2024-07-10,1234567,hoge店舗,インスタントラーメン,1055
2024-07-11,1234567,hoge店舗,インスタントラーメン,1060
2024-07-12,1234567,hoge店舗,インスタントラーメン,1065
2024-07-13,1234567,hoge店舗,インスタントラーメン,1070
2024-07-14,1234567,hoge店舗,インスタントラーメン,1075
2024-07-15,1234567,hoge店舗,インスタントラーメン,1080
2024-07-16,1234567,hoge店舗,インスタントラーメン,1085
2024-07-17,1234567,hoge店舗,インスタントラーメン,1090
2024-07-18,1234567,hoge店舗,インスタントラーメン,1095
2024-07-19,1234567,hoge店舗,インスタントラーメン,1100
2024-07-20,1234567,hoge店舗,インスタントラーメン,1105
2024-07-21,1234567,hoge店舗,インスタントラーメン,1110
2024-07-22,1234567,hoge店舗,インスタントラーメン,1115
2024-07-23,1234567,hoge店舗,インスタントラーメン,1120
2024-07-24,1234567,hoge店舗,インスタントラーメン,1125
2024-07-25,1234567,hoge店舗,インスタントラーメン,1130
2024-07-26,1234567,hoge店舗,インスタントラーメン,1135
2024-07-27,1234567,hoge店舗,インスタントラーメン,1140
2024-07-28,1234567,hoge店舗,インスタントラーメン,1145
2024-07-29,1234567,hoge店舗,インスタントラーメン,1150
2024-07-30,1234567,hoge店舗,インスタントラーメン,1155
2024-07-31,1234567,hoge店舗,インスタントラーメン,1160
2024-08-01,1234567,hoge店舗,インスタントラーメン,1165
2024-08-02,1234567,hoge店舗,インスタントラーメン,1170
2024-08-03,1234567,hoge店舗,インスタントラーメン,1175
2024-08-04,1234567,hoge店舗,インスタントラーメン,1180
2024-08-05,1234567,hoge店舗,インスタントラーメン,1185
2024-08-06,1234567,hoge店舗,インスタントラーメン,1190
2024-08-07,1234567,hoge店舗,インスタントラーメン,1195
2024-08-08,1234567,hoge店舗,インスタントラーメン,1200
2024-08-09,1234567,hoge店舗,インスタントラーメン,1205
2024-08-10,1234567,hoge店舗,インスタントラーメン,1210
2024-08-11,1234567,hoge店舗,インスタントラーメン,1215
2024-08-12,1234567,hoge店舗,インスタントラーメン,1220
2024-08-13,1234567,hoge店舗,インスタントラーメン,1225
2024-08-14,1234567,hoge店舗,インスタントラーメン,1230
2024-08-15,1234567,hoge店舗,インスタントラーメン,1235
2024-08-16,1234567,hoge店舗,インスタントラーメン,1240
2024-08-17,1234567,hoge店舗,インスタントラーメン,1245
2024-08-18,1234567,hoge店舗,インスタントラーメン,1250
2024-08-19,1234567,hoge店舗,インスタントラーメン,1255
2024-08-20,1234567,hoge店舗,インスタントラーメン,1260
2024-08-21,1234567,hoge店舗,インスタントラーメン,1265
2024-08-22,1234567,hoge店舗,インスタントラーメン,1270
2024-08-23,1234567,hoge店舗,インスタントラーメン,1275
2024-08-24,1234567,hoge店舗,インスタントラーメン,1280
2024-08-25,1234567,hoge店舗,インスタントラーメン,1285
2024-08-26,1234567,hoge店舗,インスタントラーメン,1290
2024-08-27,1234567,hoge店舗,インスタントラーメン,1295
2024-08-28,1234567,hoge店舗,インスタントラーメン,1300
2024-08-29,1234567,hoge店舗,インスタントラーメン,1305
2024-08-30,1234567,hoge店舗,インスタントラーメン,1310
2024-08-31,1234567,hoge店舗,インスタントラーメン,1315
2024-09-01,1234567,hoge店舗,インスタントラーメン,1320
2024-09-02,1234567,hoge店舗,インスタントラーメン,1325
2024-09-03,1234567,hoge店舗,インスタントラーメン,1330
2024-09-04,1234567,hoge店舗,インスタントラーメン,1335
2024-09-05,1234567,hoge店舗,インスタントラーメン,1340
2024-09-06,1234567,hoge店舗,インスタントラーメン,1345
2024-09-07,1234567,hoge店舗,インスタントラーメン,1350
2024-09-08,1234567,hoge店舗,インスタントラーメン,1355
2024-09-09,1234567,hoge店舗,インスタントラーメン,1360
2024-09-10,1234567,hoge店舗,インスタントラーメン,1365
2024-09-11,1234567,hoge店舗,インスタントラーメン,1370
2024-09-12,1234567,hoge店舗,インスタントラーメン,1375
2024-09-13,1234567,hoge店舗,インスタントラーメン,1380
2024-09-14,1234567,hoge店舗,インスタントラーメン,1385
2024-09-15,1234567,hoge店舗,インスタントラーメン,1390
2024-09-16,1234567,hoge店舗,インスタントラーメン,1395
2024-09-17,1234567,hoge店舗,インスタントラーメン,1400
2024-09-18,1234567,hoge店舗,インスタントラーメン,1405
2024-09-19,1234567,hoge店舗,インスタントラーメン,1410
2024-09-20,1234567,hoge店舗,インスタントラーメン,1415
2024-09-21,1234567,hoge店舗,インスタントラーメン,1420
2024-09-22,1234567,hoge店舗,インスタントラーメン,1425
2024-09-23,1234567,hoge店舗,インスタントラーメン,1430
2024-09-24,1234567,hoge店舗,インスタントラーメン,1435
2024-09-25,1234567,hoge店舗,インスタントラーメン,1440
2024-09-26,1234567,hoge店舗,インスタントラーメン,1445
2024-09-27,1234567,hoge店舗,インスタントラーメン,1450
2024-09-28,1234567,hoge店舗,インスタントラーメン,1455
2024-09-29,1234567,hoge店舗,インスタントラーメン,1460
2024-09-30,1234567,hoge店舗,インスタントラーメン,1465
2024-10-01,1234567,hoge店舗,インスタントラーメン,1470
2024-10-02,1234567,hoge店舗,インスタントラーメン,1475
2024-10-03,1234567,hoge店舗,インスタントラーメン,1480
2024-10-04,1234567,hoge店舗,インスタントラーメン,1485
2024-10-05,1234567,hoge店舗,インスタントラーメン,1490
2024-10-06,1234567,hoge店舗,インスタントラーメン,1495
2024-10-07,1234567,hoge店舗,インスタントラーメン,1500
2024-10-08,1234567,hoge店舗,インスタントラーメン,1505
2024-10-09,1234567,hoge店舗,インスタントラーメン,1510
2024-10-10,1234567,hoge店舗,インスタントラーメン,1515
2024-10-11,1234567,hoge店舗,インスタントラーメン,1520
2024-10-12,1234567,hoge店舗,インスタントラーメン,1525
2024-10-13,1234567,hoge店舗,インスタントラーメン,1530
2024-10-14,1234567,hoge店舗,インスタントラーメン,1535
2024-10-15,1234567,hoge店舗,インスタントラーメン,1540
2024-10-16,1234567,hoge店舗,インスタントラーメン,1545
2024-10-17,1234567,hoge店舗,インスタントラーメン,1550
2024-10-18,1234567,hoge店舗,インスタントラーメン,1555
2024-10-19,1234567,hoge店舗,インスタントラーメン,1560
2024-10-20,1234567,hoge店舗,インスタントラーメン,1565
2024-10-21,1234567,hoge店舗,インスタントラーメン,1570
2024-10-22,1234567,hoge店舗,インスタントラーメン,1575
2024-10-23,1234567,hoge店舗,インスタントラーメン,1580
2024-10-24,1234567,hoge店舗,インスタントラーメン,1585
2024-10-25,1234567,hoge店舗,インスタントラーメン,1590
2024-10-26,1234567,hoge店舗,インスタントラーメン,1595
2024-10-27,1234567,hoge店舗,インスタントラーメン,1600
2024-10-28,1234567,hoge店舗,インスタントラーメン,1605
2024-10-29,1234567,hoge店舗,インスタントラーメン,1610
2024-10-30,1234567,hoge店舗,インスタントラーメン,1615
2024-10-31,1234567,hoge店舗,インスタントラーメン,1620
2024-11-01,1234567,hoge店舗,インスタントラーメン,1625
2024-11-02,1234567,hoge店舗,インスタントラーメン,1630
2024-11-03,1234567,hoge店舗,インスタントラーメン,1635
2024-11-04,1234567,hoge店舗,インスタントラーメン,1640
2024-11-05,1234567,hoge店舗,インスタントラーメン,1645
2024-11-06,1234567,hoge店舗,インスタントラーメン,1650
2024-11-07,1234567,hoge店舗,インスタントラーメン,1655
2024-11-08,1234567,hoge店舗,インスタントラーメン,1660
2024-11-09,1234567,hoge店舗,インスタントラーメン,1665
2024-11-10,1234567,hoge店舗,インスタントラーメン,1670
2024-11-11,1234567,hoge店舗,インスタントラーメン,1675
2024-11-12,1234567,hoge店舗,インスタントラーメン,1680
2024-11-13,1234567,hoge店舗,インスタントラーメン,1685
2024-11-14,1234567,hoge店舗,インスタントラーメン,1690
2024-11-15,1234567,hoge店舗,インスタントラーメン,1695
2024-11-16,1234567,hoge店舗,インスタントラーメン,1700
2024-11-17,1234567,hoge店舗,インスタントラーメン,1705
2024-11-18,1234567,hoge店舗,インスタントラーメン,1710
2024-11-19,1234567,hoge店舗,インスタントラーメン,1715
2024-11-20,1234567,hoge店舗,インスタントラーメン,1720
2024-11-21,1234567,hoge店舗,インスタントラーメン,1725
2024-11-22,1234567,hoge店舗,インスタントラーメン,1730
2024-11-23,1234567,hoge店舗,インスタントラーメン,1735
2024-11-24,1234567,hoge店舗,インスタントラーメン,1740
2024-11-25,1234567,hoge店舗,インスタントラーメン,1745
2024-11-26,1234567,hoge店舗,インスタントラーメン,1750
2024-11-27,1234567,hoge店舗,インスタントラーメン,1755
2024-11-28,1234567,hoge店舗,インスタントラーメン,1760
2024-11-29,1234567,hoge店舗,インスタントラーメン,1765
2024-11-30,1234567,hoge店舗,インスタントラーメン,1770
2024-12-01,1234567,hoge店舗,インスタントラーメン,1775
2024-12-02,1234567,hoge店舗,インスタントラーメン,1780
2024-12-03,1234567,hoge店舗,インスタントラーメン,1785
2024-12-04,1234567,hoge店舗,インスタントラーメン,1790
2024-12-05,1234567,hoge店舗,インスタントラーメン,1795
2024-12-06,1234567,hoge店舗,インスタントラーメン,1800
2024-12-07,1234567,hoge店舗,インスタントラーメン,1805
2024-12-08,1234567,hoge店舗,インスタントラーメン,1810
2024-12-09,1234567,hoge店舗,インスタントラーメン,1815
2024-12-10,1234567,hoge店舗,インスタントラーメン,1820
2024-12-11,1234567,hoge店舗,インスタントラーメン,1825
2024-12-12,1234567,hoge店舗,インスタントラーメン,1830
2024-12-13,1234567,hoge店舗,インスタントラーメン,1835
2024-12-14,1234567,hoge店舗,インスタントラーメン,1840
2024-12-15,1234567,hoge店舗,インスタントラーメン,1845
2024-12-16,1234567,hoge店舗,インスタントラーメン,1850
2024-12-17,1234567,hoge店舗,インスタントラーメン,1855
2024-12-18,1234567,hoge店舗,インスタントラーメン,1860
2024-12-19,1234567,hoge店舗,インスタントラーメン,1865
2024-12-20,1234567,hoge店舗,インスタントラーメン,1870
2024-12-21,1234567,hoge店舗,インスタントラーメン,1875
2024-12-22,1234567,hoge店舗,インスタントラーメン,1880
2024-12-23,1234567,hoge店舗,インスタントラーメン,1885
2024-12-24,1234567,hoge店舗,インスタントラーメン,1890
2024-12-25,1234567,hoge店舗,インスタントラーメン,1895
2024-12-26,1234567,hoge店舗,インスタントラーメン,1900
2024-12-27,1234567,hoge店舗,インスタントラーメン,1905
2024-12-28,1234567,hoge店舗,インスタントラーメン,1910
2024-12-29,1234567,hoge店舗,インスタントラーメン,1915
2024-12-30,1234567,hoge店舗,インスタントラーメン,1920
2024-12-31,1234567,hoge店舗,インスタントラーメン,1925
2025-01-01,1234567,hoge店舗,インスタントラーメン,1930
2025-01-02,1234567,hoge店舗,インスタントラーメン,1935
2025-01-03,1234567,hoge店舗,インスタントラーメン,1940
2025-01-04,1234567,hoge店舗,インスタントラーメン,1945
2025-01-05,1234567,hoge店舗,インスタントラーメン,1950
2025-01-06,1234567,hoge店舗,インスタントラーメン,1955
2025-01-07,1234567,hoge店舗,インスタントラーメン,1960
2025-01-08,1234567,hoge店舗,インスタントラーメン,1965
2025-01-09,1234567,hoge店舗,インスタントラーメン,1970
2025-01-10,1234567,hoge店舗,インスタントラーメン,1975
2025-01-11,1234567,hoge店舗,インスタントラーメン,1980
2025-01-12,1234567,hoge店舗,インスタントラーメン,1985
2025-01-13,1234567,hoge店舗,インスタントラーメン,1990
2025-01-14,1234567,hoge店舗,インスタントラーメン,1995
2025-01-15,1234567,hoge店舗,インスタントラーメン,2000
2025-01-16,1234567,hoge店舗,インスタントラーメン,2005
2025-01-17,1234567,hoge店舗,インスタントラーメン,2010
2025-01-18,1234567,hoge店舗,インスタントラーメン,2015
2025-01-19,1234567,hoge店舗,インスタントラーメン,2020
2025-01-20,1234567,hoge店舗,インスタントラーメン,2025
2025-01-21,1234567,hoge店舗,インスタントラーメン,2030
2025-01-22,1234567,hoge店舗,インスタントラーメン,2035
2025-01-23,1234567,hoge店舗,インスタントラーメン,2040
2025-01-24,1234567,hoge店舗,インスタントラーメン,2045
2025-01-25,1234567,hoge店舗,インスタントラーメン,2050
2025-01-26,1234567,hoge店舗,インスタントラーメン,2055
2025-01-27,1234567,hoge店舗,インスタントラーメン,2060
2025-01-28,1234567,hoge店舗,インスタントラーメン,2065
2025-01-29,1234567,hoge店舗,インスタントラーメン,2070
2025-01-30,1234567,hoge店舗,インスタントラーメン,2075
2025-01-31,1234567,hoge店舗,インスタントラーメン,2080
2025-02-01,1234567,hoge店舗,インスタントラーメン,2085
2025-02-02,1234567,hoge店舗,インスタントラーメン,2090
2025-02-03,1234567,hoge店舗,インスタントラーメン,2095
2025-02-04,1234567,hoge店舗,インスタントラーメン,2100
2025-02-05,1234567,hoge店舗,インスタントラーメン,2105
2025-02-06,1234567,hoge店舗,インスタントラーメン,2110
2025-02-07,1234567,hoge店舗,インスタントラーメン,2115
2025-02-08,1234567,hoge店舗,インスタントラーメン,2120
2025-02-09,1234567,hoge店舗,インスタントラーメン,2125
2025-02-10,1234567,hoge店舗,インスタントラーメン,2130
2025-02-11,1234567,hoge店舗,インスタントラーメン,2135
2025-02-12,1234567,hoge店舗,インスタントラーメン,2140
2025-02-13,1234567,hoge店舗,インスタントラーメン,2145
2025-02-14,1234567,hoge店舗,インスタントラーメン,2150
2025-02-15,1234567,hoge店舗,インスタントラーメン,2155
2025-02-16,1234567,hoge店舗,インスタントラーメン,2160
2025-02-17,1234567,hoge店舗,インスタントラーメン,2165
2025-02-18,1234567,hoge店舗,インスタントラーメン,2170
2025-02-19,1234567,hoge店舗,インスタントラーメン,2175
2025-02-20,1234567,hoge店舗,インスタントラーメン,2180
2025-02-21,1234567,hoge店舗,インスタントラーメン,2185
2025-02-22,1234567,hoge店舗,インスタントラーメン,2190
2025-02-23,1234567,hoge店舗,インスタントラーメン,2195
2025-02-24,1234567,hoge店舗,インスタントラーメン,2200
2025-02-25,1234567,hoge店舗,インスタントラーメン,2205
2025-02-26,1234567,hoge店舗,インスタントラーメン,2210
2025-02-27,1234567,hoge店舗,インスタントラーメン,2215
2025-02-28,1234567,hoge店舗,インスタントラーメン,2220
2025-03-01,1234567,hoge店舗,インスタントラーメン,2225
2025-03-02,1234567,hoge店舗,インスタントラーメン,2230
2025-03-03,1234567,hoge店舗,インスタントラーメン,2235
2025-03-04,1234567,hoge店舗,インスタントラーメン,2240
2025-03-05,1234567,hoge店舗,インスタントラーメン,2245
2025-03-06,1234567,hoge店舗,インスタントラーメン,2250
2025-03-07,1234567,hoge店舗,インスタントラーメン,2255
2025-03-08,1234567,hoge店舗,インスタントラーメン,2260
2025-03-09,1234567,hoge店舗,インスタントラーメン,2265
2025-03-10,1234567,hoge店舗,インスタントラーメン,2270
2025-03-11,1234567,hoge店舗,インスタントラーメン,2275
2025-03-12,1234567,hoge店舗,インスタントラーメン,2280
2025-03-13,1234567,hoge店舗,インスタントラーメン,2285
2025-03-14,1234567,hoge店舗,インスタントラーメン,2290
2025-03-15,1234567,hoge店舗,インスタントラーメン,2295
2025-03-16,1234567,hoge店舗,インスタントラーメン,2300
2025-03-17,1234567,hoge店舗,インスタントラーメン,2305
2025-03-18,1234567,hoge店舗,インスタントラーメン,2310
2025-03-19,1234567,hoge店舗,インスタントラーメン,2315
2025-03-20,1234567,hoge店舗,インスタントラーメン,2320
2025-03-21,1234567,hoge店舗,インスタントラーメン,2325
2025-03-22,1234567,hoge店舗,インスタントラーメン,2330
2025-03-23,1234567,hoge店舗,インスタントラーメン,2335
2025-03-24,1234567,hoge店舗,インスタントラーメン,2340
2025-03-25,1234567,hoge店舗,インスタントラーメン,2345
2025-03-26,1234567,hoge店舗,インスタントラーメン,2350
2025-03-27,1234567,hoge店舗,インスタントラーメン,2355
2025-03-28,1234567,hoge店舗,インスタントラーメン,2360
2025-03-29,1234567,hoge店舗,インスタントラーメン,2365
2025-03-30,1234567,hoge店舗,インスタントラーメン,2370
2025-03-31,1234567,hoge店舗,インスタントラーメン,2375
2025-04-01,1234567,hoge店舗,インスタントラーメン,2380
2025-04-02,1234567,hoge店舗,インスタントラーメン,2385
2025-04-03,1234567,hoge店舗,インスタントラーメン,2390
2025-04-04,1234567,hoge店舗,インスタントラーメン,2395
2025-04-05,1234567,hoge店舗,インスタントラーメン,2400
2025-04-06,1234567,hoge店舗,インスタントラーメン,2405
2025-04-07,1234567,hoge店舗,インスタントラーメン,2410
2025-04-08,1234567,hoge店舗,インスタントラーメン,2415
2025-04-09,1234567,hoge店舗,インスタントラーメン,2420
2025-04-10,1234567,hoge店舗,インスタントラーメン,2425
2025-04-11,1234567,hoge店舗,インスタントラーメン,2430
2025-04-12,1234567,hoge店舗,インスタントラーメン,2435
2025-04-13,1234567,hoge店舗,インスタントラーメン,2440
2025-04-14,1234567,hoge店舗,インスタントラーメン,2445
2025-04-15,1234567,hoge店舗,インスタントラーメン,2450
